id,zh_label,en_label,zh_description,en_description
P19,出生地,place of birth,人、動物或虚拟角色的已知最詳細的誕生地點,most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character
P22,父亲,father,男性家长,male parent of the subject. For stepfather, use "stepparent" (P3448)
P39,官职,position held,项目担任的公职,subject currently or formerly holds the object position or public office
P88,委托人,commissioned by,委托艺术家进行创作的人,person or organization that commissioned this work
P102,政党,member of political party,政治人物所屬的政黨,the political party of which this politician is or has been a member
P108,雇主,employer,雇用此人物的人或機構,person or organization for which the subject works or worked
P109,签名,signature,,image of a person's signature
P111,物理量,measured physical quantity,,value of a physical property expressed as number multiplied by a unit
P119,墓地,place of burial,一个人的坟墓、埋葬地、骨灰撒放地点，等 (例：城市或坟场)。,location of grave, resting place, place of ash-scattering, etc, (e.g. town/city or cemetery) for a person or animal. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.
P131,所在行政领土实体,located in the administrative territorial entity,此项所地处的，代表领土一部分的上级行政实体。指定所处非行政性地点，或有关活动的项时，请使用P276（位置）,the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events
P149,建筑风格,architectural style,项的建筑风格,architectural style of a structure
P166,奖项,award received,人物、机构或作品所获的奖项,award or recognition received by a person, organisation or creative work
P169,首席執行長,chief executive officer,公司最高行政管理人员,highest-ranking corporate officer appointed as the CEO within an organization
P171,父分类,parent taxon,上一級的生物分類單元所屬,closest parent taxon of the taxon in question
P175,表演者/音乐艺术家,performer,艺术家，音乐团体，或与该项目有关的其他表演者,performer involved in the performance or the recording of a musical work
P178,开发者,developer,,organisation or person that developed the item
P183,原产于,endemic to,,sole location or habitat type where the taxon lives
P200,流入水域,lake inflows,,major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none
P220,国际标准化组织639-3代码,ISO 639-3 code,國際標準化組織639-3中定義的語言的標識符,identifier for a language defined in ISO 639-3
P225,学名,taxon name,物種學名,correct scientific name of a taxon (according to the reference given)
P230,ICAO航空公司代码,ICAO airline designator,3個字母的代碼，用於識別航空公司（P:239用於機場）,three letter identifier for an airline (two letters only until 1982) (for airports, see P239)
P246,元素符号,element symbol,,identifier for a chemical element
P263,官邸,official residence,,the residence at which heads of government and other senior figures officially reside
P298,ISO 3166-1三字母代码,ISO 3166-1 alpha-3 code,含三位字母的 ISO 3166-1 国家代码,identifier for a country in three-letter format per ISO 3166-1
P305,互联网工程任务组语言标签,IETF language tag,互聯網工程任務組的語言標識符,identifier for a language per the Internet Engineering Task Force
P348,软件版本,software version identifier,软件的所有版本,numeric or symbolic identifier of version of a software or file format, current and past
P355,子组织,subsidiary,母机构下辖的组织，如子机构、子公司、下属部队等,subsidiary of a company or organization, opposite of parent organization (P749)
P371,主持人,presenter,电台或电视节目的主要主持人,someone who takes a main role in presenting a radio or television program or a performing arts show
P375,发射载具,space launch vehicle,,type of rocket or other vehicle for launching subject payload into outer space
P407,作品或名称语言,language of work or name,与此作品或名称有关的语言（人物请使用P103和P1412）,language associated with this creative work (such as books, shows, songs, or websites) or a name (for persons use P103 and P1412)
P421,时区,located in time zone,所处的时区,time zone for this item
P428,植物学作者缩写,botanist author abbreviation,学名命名人的标准缩写形式（仅适用于藻类、真菌和植物）,standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)
P443,读音,pronunciation audio,,audio file with pronunciation
P449,首播电视台,original network,广播电视节目的首播电台、电视台，并不包括重播或转播,network(s) the radio or television show was originally aired on,  including
P461,相对概念,opposite of,与此项相反的概念,item that is the opposite of this item
P467,立法者,legislated by,通过某项法律的立法机关,indicates that an act or bill was passed by a legislature.  The value can be a particular session of the legislature
P497,中国历代人物传记资料库编号,CBDB ID,中國傳記數據庫中某人的標識符,identifer for a person in the China Biographical Database
P512,学位,academic degree,一种学术称号,academic degree that the person holds
P517,相互作用,interaction,與粒子相互作用的四個基本力（強（Q11415），電磁（Q849919），弱（Q11418）和重力（Q11412））的子集,subset of the four fundamental forces (strong (Q11415), electromagnetic (Q849919), weak (Q11418), and gravitation (Q11412) with which a particle interacts
P533,目标,target,军事行动或恐怖袭击的目标,target of a terrorist attack or military operation
P555,,doubles record,,win/lose balance for a player in doubles tournaments
P557,疾病數據庫,DiseasesDB,來自疾病數據庫的標識符,identifier sourced on the Diseases Database
P560,方向,direction,,qualifier to indicate the direction of the parent statement's value relative to the subject item
P561,,NATO reporting name,,official reporting name assigned by the ASCC for NATO use
P564,,singles record,,win/lose balance for a player in singles tournaments
P598,,commander of,,for persons who are notable as commanding officers, the units they commanded
P604,,MedlinePlus ID,,health information from U.S. government agencies, and health-related organizations
P611,宗教團,religious order,個人或宗教信仰所屬的僧侶或修女的教團,order of monks or nuns to which an individual or religious house belongs
P636,,route of administration,,path by which a drug, fluid, poison, or other substance is taken into the body
P660,,EC enzyme classification,,the Enzyme Commission (EC)-based accepted name of any enzyme classifications of the protein or RNA molecule
P664,主办方,organizer,組織事件的人或機構,person or institution organizing an event
P665,京都基因與基因组百科全書標識符,KEGG ID,來自處理基因組，酶途徑和生物化學品的數據庫的標識符,identifier from databases dealing with genomes, enzymatic pathways, and biological chemicals
P669,所在街道,located on street,街道，道路或广场上的物品所在的位置。 要添加号码，请使用Property：P670“街道号码”作为限定符。 如果街道上没有物品，请使用物业P969。,street, road, or square, where the item is located. To add the number, use Property:P670 "street number" as qualifier. Use property P6375 if there is no item for the street
P710,参与者,participant,積極參與/參加活動的人，團體或組織（對象）（主題）。 最好符合“對像有角色”（P3831）。 將P1923用於團隊參與者。,person, group of people or organization (object) that actively takes/took part in an event or process (subject).  Preferably qualify with "object has role" (P3831). Use P1923 for participants that are teams.
P716,,JPL Small-Body Database ID,,identifier in the JPL Small-Body Database
P735,名字,given name,名字或这个人的另一个名字;值属性不应该使用链接消歧和姓氏,first name or another given name of this person; values used with the property shouldn't link disambiguations nor family names
P740,成立地点,location of formation,组织成立的地点,location where a group or organization was formed
P742,化名,pseudonym,,alias used by someone (for nickname use P1449)
P750,发行商,distributor,作品的出版方,distributor of a creative work; distributor for a record label
P769,,significant drug interaction,,clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events.
P777,,Swedish civil parish code/ATA code,,identifier for a civil parish in Sweden
P779,,Church of Sweden Pastoratskod,,identifier for a pastoral district of the Church of Sweden
P784,,mushroom cap shape,,
P788,,mushroom ecological type,,
P797,管理机关,authority,對給定實體具有行政權力的實體,entity having executive power on given entity
P807,分离自,separated from,主體是通過從確定的對像中分離出來而建立或開始的,subject was founded or started by separating from identified object
P817,,decay mode,,type of decay that a radioactive isotope undergoes (should be used as a qualifier for "decays to")
P830,EOL ID,Encyclopedia of Life ID,網路生命大百科（EOL）專案碼,eol.org item reference number
P886,LIR,Lexicon istoric retic ID,瑞士歷史辭典，是一部關於瑞士歷史的百科全書，建立目的是為了將現代歷史研究成果展現給大眾。,identifier in the Lexicon istoric retic (LIR), Romansh variant of Historical Dictionary of Switzerland
P938,,FishBase species ID,,identifier for a species in FishBase
P950,BNE编码,BNE ID,,identifier from the authority file of the Biblioteca Nacional de España. Format for persons: "XX" followed by 4 to 7 digits
P957,ISBN-10,ISBN-10,一本書（版）的標識符，十位數,identifier for a book (edition), ten digit
P962,,MycoBank taxon name ID,,identifier per MycoBank - a database that provides an authoritative and comprehensive list of names of fungi
P964,,Austrian municipality key,,identifier for municipalities in Austria
P967,,guest of honor,,guest(s) of honor invited to an event, e.g. a convention
P981,,BAG residence ID,,BAG code for Dutch residencies ("woonplaats", mostly municipalities)
P1002,引擎配置,engine configuration,发动机汽缸的配置,configuration of an engine's cylinders
P1006,NTA识别码（荷兰）,National Thesaurus for Author Names ID,,identifier from the Dutch National Thesaurus for Author names
P1016,,asteroid taxonomy,,type of asteroid classification
P1022,,CNO-11 occupation code,,Spanish classification of occupations CNO-11 maintained by the Spanish INE (Instituto Nacional de Estadística)
P1025,大学文档系统版本,SUDOC editions,法國聯合目錄中的標識符（另見P269）,identifier in the French union catalog (see also P269)
P1027,颁发者,conferred by,向收件人頒發獎品或授予榮譽的人或組織,person or organization who awards a prize to or bestows an honor upon a recipient
P1029,机组人员,crew member,,person that participated operating or serving aboard this vehicle
P1046,发现方法,discovery method,發現一顆系外行星的方式,way an exoplanet was discovered
P1047,,Catholic Hierarchy person ID,,identifer for the person on catholic-hierarchy.org
P1057,染色体,chromosome,一個實體所在的染色體,chromosome on which an entity is localized
P1066,老师,student of,传授技艺者,person who has taught this person
P1073,,writable file format,,file format a program can create and/or write to
P1081,人类发展指数,Human Development Index,一個國家的人类发展指数值,HDI value of a country
P1084,,EUL editions,,identifier for a book (edition) in the Egyptian union catalog
P1103,站台对应轨道数量,number of platform tracks,,number of tracks served by the platforms at a railway station
P1108,电负性,electronegativity,,tendency of an atom or functional group to attract electrons
P1110,出席人数,attendance,赛事、展览等事件的观众人数,number of people (spectators, ticket holders) at an event or exhibition
P1111,得票数,votes received,候选人在选举中所获得的票数,qualifier stating the number of votes for a candidate in an election
P1122,自旋量子数,spin quantum number,,a quantum number; a dimensionless rational number;  the intrinsic spin angular momentum is this times the Dirac or reduced Planck constant
P1133,,DGO4 identifier,,identifier per Direction générale opérationelle (Wallonia)
P1142,政治意识形态,political ideology,此组织或个人的政治意识形态,political ideology of this organization or person
P1146,IAAF运动员编码,IAAF athlete ID,在國際田徑總會(IAAF)的資料庫與網站之中，田徑選手的編號,identifier for athletes in International Association of Athletics Federations (IAAF) database and website
P1161,Z39.5縮寫,Z39.5 abbreviation,Z39.5 書目編碼/縮寫，是1969年美國國家資訊標準組織所設另，此縮寫在美國受到廣泛使用,Z39.5 bibliographic code/abbreviation established in 1969 by National Information Standards Organization and used widely in the US and elsewhere
P1170,發送訊號,transmitted signal type,某裝置發送出的訊號類型,type of signal transmitted by a device
P1172,Geokod,Geokod,瑞典行政單位的舊制編碼（1862-1951）,identifier for historical administrative division of Sweden (1862-1951)
P1193,感染率,prevalence,某疾病在總人口中的感染比率,portion of a population with a given disease
P1201,太空交通船,space tug,將搭載物從鄰近目標星球的軌道移動到目標軌道上、或是跨星球之間軌道，所設計的太空載具,spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory
P1204,維基媒體主題的主要話題,Wikimedia portal's main topic,此主題頁面（Portal）的主題項目,primary topic of this Wikimedia portal
P1242,Theatricalia劇作索引碼,Theatricalia play ID,在戲劇資料庫（ http://theatricalia.com ）中劇本作品的索引資料,identifier for a theatrical work, in the Theatricalia database
P1245,OmegaWiki定义,OmegaWiki Defined Meaning,在OmegaWiki網站上所呈現的「定義值（Defined Meaning）」,"Defined Meaning" on the site OmegaWiki
P1247,壓縮比,compression ratio,引擎容積的壓縮比率,compression ratio of an engine
P1263,NNDB,NNDB people ID,NNDB传记数据库中的编码,identifier in the Notable Names Database, a biographical database: only for people entries
P1268,代表对象,represents,,organization or individual that an entity represents
P1270,,Norwegian Register journal ID,,identifier for academic journals
P1276,,Dictionnaire du Jura ID,,identifier in the encyclopedia Dictionnaire du Jura
P1297,,IRS Employer Identification Number,,number given to businesses by the United States Internal Revenue Service
P1309,,EGAXA ID,,identifier in Bibliotheca Alexandrina
P1312,維面,has facet polytope,組成幾何圖形的面或其他少一個維度的對象,facet of a polytope, in the next-lower dimension
P1323,,Terminologia Anatomica 98 ID,,Terminologia Anatomica (1998 edition) human anatomical terminology identifier
P1326,最晚日期,latest date,发生某事的可能最晚时间，用作对其他日期属性的限定条件,latest possible time that something could have occurred. Use as qualifier for other date properties
P1346,获胜者,winner,在某项活动中取得胜利的一方,winner of an event - do not use for awards (use P166 instead), nor for wars or battles
P1350,参赛次数,number of matches played/races/starts,某比赛中的比赛场次，或某人/某队的参赛次数,matches or games a player or a team played during an event. Also a total number of matches a player officially appeared in during the whole career.
P1352,排名,ranking,某人、隊伍、或作品在某比賽或排行榜中的排名,the subject's numbered position within a tournament or group of performers
P1356,,number of losses,,number of sporting matches, games or events lost
P1363,得分或進球者,points/goal scored by,在比賽中得分或進球的某位人物,person who scored a point or goal in a game
P1375,NSK編碼,NSK ID,位在克羅埃西亞的首都薩格勒布市的「國家與學院圖書館」(NSK)的資料索引碼,identifier for an item in the National and University Library in Zagreb (including leading zeroes)
P1377,港铁站代码,MTR station code,由香港铁路所发布的车站代码,identifier for a station in Hong Kong issued by MTR
P1386,,Japanese High School Code,,identifier for a high school in Japan
P1397,國家地理名稱目錄(俄),State Catalogue of Geographical Names (Russia) ID,俄羅斯國家地理名稱目錄中的代碼,identifier in State Catalogue of Geographical Names (Russia)
P1399,所犯罪名,convicted of,此人犯下的罪行,crime a person was convicted of
P1415,牛津國家人物傳記大辭典編號,Oxford Dictionary of National Biography ID,牛津大學出版社所使用的線上傳記資源（前身是牛津國家傳記大辭典）控制編號,identifier used by the Oxford Dictionary of National Biography
P1419,形状,shape,物体的几何形状,shape of an object
P1420,同物異名,taxon synonym,次异名,(incorrect) name(s) listed as synonym(s) of a taxon name
P1422,桑德拉特网人物编号,Sandrart.net person ID,17世紀藝術和文化史研究平台中的個人識別號碼,personal Identification number in Research Platform for Art and Cultural History of the 17th Century (Sandrart.net)
P1435,文化遗产保护状况,heritage designation,历史遗迹的保护状况,heritage designation of a cultural or natural site
P1445,虚构世界描述于,fictional universe described in,,to link a fictional universe with a work that describes it: <universe> "described in the work:" <work>
P1449,昵称,nickname,人物或事物的绰号,informal name (for a pseudonym use P742)
P1456,古迹列表,list of monuments,,link to the list of heritage monuments in the place/area
P1474,,Nupill Literatura Digital - Document,,identifier for a document in Nupill Literatura Digital
P1476,标题,title,作品的标题、作品（例如書、電影或網站）的名稱,published title of a work, such as a newspaper article, a literary work, a website, or a performance work
P1536,,immediate cause of,,immediate cause of this effect
