,en_description,en_label,id,zh_description,zh_label
0,federal constitutional monarchy in Western Europe,Belgium,Q31,西欧国家,比利时
1,mental or emotional state of well-being characterized by pleasant emotions,happiness,Q8,感受良好时的情绪反应,快乐
2,First President of the United States,George Washington,Q23,美国第一任总统,乔治·华盛顿
3,character from the television series 24,Jack Bauer,Q24,电视剧《24》男主角,杰克·鲍尔
4,British author and humorist,Douglas Adams,Q42,英国作家,道格拉斯·亚当斯
5,Belgian author and visionary,Paul Otlet,Q1868,,保羅·奧特勒
6,free knowledge database project hosted by Wikimedia and edited by volunteers,Wikidata,Q2013,人人可编辑的自由知识库,维基数据
7,republic in Southwestern Europe,Portugal,Q45,欧洲国家,葡萄牙
8,polar continent,Antarctica,Q51,七大洲之一,南极洲
9,"primary sexual organ that male animals use to inseminate sexually receptive mates (females or hermaphrodites) during copulation, occurring in many (but not all) animals, including humans",penis,Q58,雄性生殖器官,阴茎
10,general-purpose device for performing arithmetic or logical operations,computer,Q68,根据指令对数据进行处理的机器,电子计算机
11,global system of connected computer networks,Internet,Q75,全球性的电脑网络,互联网
12,pronounciation: neu+mono+ultra+microscopic+silico+valcano+caniosis -ameesh mohammed,pneumonoultramicroscopicsilicovolcanoconiosis,Q102,,火山肺矽病
13,song from the musical Mary Poppins,Supercalifragilisticexpialidocious,Q103,,超級酷斃宇宙世界霹靂無敵棒
14,eleventh month in the Julian and Gregorian calendars,November,Q125,公历及儒略历中第十一个月份,11月
15,species of big cat,Panthera leo,Q140,大型猫科动物,狮子
16,domestic animal,dog,Q144,,犬
17,young of a cat,kitten,Q147,形容幼年的貓咪.,幼猫
18,state in East Asia,People's Republic of China,Q148,东亚国家,中华人民共和国
19,federal republic in South America,Brazil,Q155,南美洲国家,巴西
20,historic county of Northern England,Yorkshire,Q163,,約克郡
21,Italian dish of oven-baked bread with various toppings.,pizza,Q177,,比萨饼
22,"type of Italian food made from flour, eggs and water and shaped in different forms. Usually, they are cooked and served with a sauce",pasta,Q178,麵条的类型，意大利传统美食的主食,意式麵食
23,federal parliamentary republic in central-western Europe,Germany,Q183,欧洲国家,德国
24,43rd President of the United States,George W. Bush,Q207,美国政治人物,乔治·沃克·布什
25,90° angle (π/2 radians): an angle that bisects the angle formed by two halves of a straight line,right angle,Q210,,直角
26,island republic in Europe,Malta,Q233,南歐國家,马耳他
27,Island Single Malt Scotch whisky,Talisker,Q278,,
28,"commune in Indre-et-Loire, France",Tours,Q288,,图尔
29,Spanish painter,Diego Velázquez,Q297,西班牙画家,委拉斯開茲
30,republic in South America,Chile,Q298,南美洲国家,智利
31,form of autocratic government led by a single individual,dictatorship,Q317,,专政政体
32,English‑language edition of Wikipedia,English Wikipedia,Q328,维基百科的英文版,英语维基百科
33,1939–1945 global war between the Allied and Axis powers,World War II,Q362,发生于1939年到1945年之间的世界性战争,第二次世界大战
34,"general, politician and dictator of Chile",Augusto Pinochet,Q368,智利军事独裁者,奥古斯托·皮诺切特
35,constitutional monarchy in Southwest Asia,Bahrain,Q398,西亞國家,巴林
36,study of the formation of life on Earth and elsewhere,astrobiology,Q411,,天體生物學
