,en_description,en_label,id,zh_description,zh_label
0,"most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character",place of birth,P19,人、動物或虚拟角色的已知最詳細的誕生地點,出生地
1,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",father,P22,男性家长,父亲
2,subject currently or formerly holds the object position or public office,position held,P39,项目担任的公职,官职
3,person or organization that commissioned this work,commissioned by,P88,委托艺术家进行创作的人,委托人
4,the political party of which this politician is or has been a member,member of political party,P102,政治人物所屬的政黨,政党
5,person or organization for which the subject works or worked,employer,P108,雇用此人物的人或機構,雇主
6,image of a person's signature,signature,P109,,签名
7,value of a physical property expressed as number multiplied by a unit,measured physical quantity,P111,,物理量
8,"location of grave, resting place, place of ash-scattering, etc, (e.g. town/city or cemetery) for a person or animal. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.",place of burial,P119,一个人的坟墓、埋葬地、骨灰撒放地点，等 (例：城市或坟场)。,墓地
9,the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events,located in the administrative territorial entity,P131,此项所地处的，代表领土一部分的上级行政实体。指定所处非行政性地点，或有关活动的项时，请使用P276（位置）,所在行政领土实体
10,architectural style of a structure,architectural style,P149,项的建筑风格,建筑风格
11,"award or recognition received by a person, organisation or creative work",award received,P166,人物、机构或作品所获的奖项,奖项
12,highest-ranking corporate officer appointed as the CEO within an organization,chief executive officer,P169,公司最高行政管理人员,首席執行長
13,closest parent taxon of the taxon in question,parent taxon,P171,上一級的生物分類單元所屬,父分类
14,performer involved in the performance or the recording of a musical work,performer,P175,艺术家，音乐团体，或与该项目有关的其他表演者,表演者/音乐艺术家
15,organisation or person that developed the item,developer,P178,,开发者
16,sole location or habitat type where the taxon lives,endemic to,P183,,原产于
17,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none",lake inflows,P200,,流入水域
18,identifier for a language defined in ISO 639-3,ISO 639-3 code,P220,國際標準化組織639-3中定義的語言的標識符,国际标准化组织639-3代码
19,correct scientific name of a taxon (according to the reference given),taxon name,P225,物種學名,学名
20,"three letter identifier for an airline (two letters only until 1982) (for airports, see P239)",ICAO airline designator,P230,3個字母的代碼，用於識別航空公司（P:239用於機場）,ICAO航空公司代码
21,identifier for a chemical element,element symbol,P246,,元素符号
22,the residence at which heads of government and other senior figures officially reside,official residence,P263,,官邸
23,identifier for a country in three-letter format per ISO 3166-1,ISO 3166-1 alpha-3 code,P298,含三位字母的 ISO 3166-1 国家代码,ISO 3166-1三字母代码
24,identifier for a language per the Internet Engineering Task Force,IETF language tag,P305,互聯網工程任務組的語言標識符,互联网工程任务组语言标签
25,"numeric or symbolic identifier of version of a software or file format, current and past",software version identifier,P348,软件的所有版本,软件版本
26,"subsidiary of a company or organization, opposite of parent organization (P749)",subsidiary,P355,母机构下辖的组织，如子机构、子公司、下属部队等,子组织
27,someone who takes a main role in presenting a radio or television program or a performing arts show,presenter,P371,电台或电视节目的主要主持人,主持人
28,type of rocket or other vehicle for launching subject payload into outer space,space launch vehicle,P375,,发射载具
29,"language associated with this creative work (such as books, shows, songs, or websites) or a name (for persons use P103 and P1412)",language of work or name,P407,与此作品或名称有关的语言（人物请使用P103和P1412）,作品或名称语言
30,time zone for this item,located in time zone,P421,所处的时区,时区
31,"standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)",botanist author abbreviation,P428,学名命名人的标准缩写形式（仅适用于藻类、真菌和植物）,植物学作者缩写
32,audio file with pronunciation,pronunciation audio,P443,,读音
33,"network(s) the radio or television show was originally aired on,  including",original network,P449,广播电视节目的首播电台、电视台，并不包括重播或转播,首播电视台
34,item that is the opposite of this item,opposite of,P461,与此项相反的概念,相对概念
35,indicates that an act or bill was passed by a legislature.  The value can be a particular session of the legislature,legislated by,P467,通过某项法律的立法机关,立法者
36,identifer for a person in the China Biographical Database,CBDB ID,P497,中國傳記數據庫中某人的標識符,中国历代人物传记资料库编号
37,academic degree that the person holds,academic degree,P512,一种学术称号,学位
38,"subset of the four fundamental forces (strong (Q11415), electromagnetic (Q849919), weak (Q11418), and gravitation (Q11412) with which a particle interacts",interaction,P517,與粒子相互作用的四個基本力（強（Q11415），電磁（Q849919），弱（Q11418）和重力（Q11412））的子集,相互作用
39,target of a terrorist attack or military operation,target,P533,军事行动或恐怖袭击的目标,目标
40,win/lose balance for a player in doubles tournaments,doubles record,P555,,
41,identifier sourced on the Diseases Database,DiseasesDB,P557,來自疾病數據庫的標識符,疾病數據庫
42,qualifier to indicate the direction of the parent statement's value relative to the subject item,direction,P560,,方向
43,official reporting name assigned by the ASCC for NATO use,NATO reporting name,P561,,
44,win/lose balance for a player in singles tournaments,singles record,P564,,
45,"for persons who are notable as commanding officers, the units they commanded",commander of,P598,,
46,"health information from U.S. government agencies, and health-related organizations",MedlinePlus ID,P604,,
47,order of monks or nuns to which an individual or religious house belongs,religious order,P611,個人或宗教信仰所屬的僧侶或修女的教團,宗教團
48,"path by which a drug, fluid, poison, or other substance is taken into the body",route of administration,P636,,
49,the Enzyme Commission (EC)-based accepted name of any enzyme classifications of the protein or RNA molecule,EC enzyme classification,P660,,
50,person or institution organizing an event,organizer,P664,組織事件的人或機構,主办方
51,"identifier from databases dealing with genomes, enzymatic pathways, and biological chemicals",KEGG ID,P665,來自處理基因組，酶途徑和生物化學品的數據庫的標識符,京都基因與基因组百科全書標識符
52,"street, road, or square, where the item is located. To add the number, use Property:P670 ""street number"" as qualifier. Use property P6375 if there is no item for the street",located on street,P669,街道，道路或广场上的物品所在的位置。 要添加号码，请使用Property：P670“街道号码”作为限定符。 如果街道上没有物品，请使用物业P969。,所在街道
53,"person, group of people or organization (object) that actively takes/took part in an event or process (subject).  Preferably qualify with ""object has role"" (P3831). Use P1923 for participants that are teams.",participant,P710,積極參與/參加活動的人，團體或組織（對象）（主題）。 最好符合“對像有角色”（P3831）。 將P1923用於團隊參與者。,参与者
54,identifier in the JPL Small-Body Database,JPL Small-Body Database ID,P716,,
55,first name or another given name of this person; values used with the property shouldn't link disambiguations nor family names,given name,P735,名字或这个人的另一个名字;值属性不应该使用链接消歧和姓氏,名字
56,location where a group or organization was formed,location of formation,P740,组织成立的地点,成立地点
57,alias used by someone (for nickname use P1449),pseudonym,P742,,化名
58,distributor of a creative work; distributor for a record label,distributor,P750,作品的出版方,发行商
59,"clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events.",significant drug interaction,P769,,
60,identifier for a civil parish in Sweden,Swedish civil parish code/ATA code,P777,,
61,identifier for a pastoral district of the Church of Sweden,Church of Sweden Pastoratskod,P779,,
62,,mushroom cap shape,P784,,
63,,mushroom ecological type,P788,,
64,entity having executive power on given entity,authority,P797,對給定實體具有行政權力的實體,管理机关
65,subject was founded or started by separating from identified object,separated from,P807,主體是通過從確定的對像中分離出來而建立或開始的,分离自
66,"type of decay that a radioactive isotope undergoes (should be used as a qualifier for ""decays to"")",decay mode,P817,,
67,eol.org item reference number,Encyclopedia of Life ID,P830,網路生命大百科（EOL）專案碼,EOL ID
